time	current	voltage
0	93.378994	-69.813242012
1	76.999254	-69.6609431126
2	62.867662	-69.5382723053
3	106.31302	-69.3297956385
4	77.007637	-69.1817494166
5	83.993516	-69.021000426
6	131.94203	-68.7657130886
7	163.99265	-68.4484468957
8	172.83005	-68.1160766988
9	174.28059	-67.7834164873
10	152.05005	-67.497745862
11	186.52395	-67.1452274059
12	139.05351	-66.890161288
13	194.04486	-66.5268614505
14	147.83573	-66.2583991305
15	165.18301	-65.9569551356
16	174.66882	-65.6384017054
17	158.11468	-65.3548511895
18	212.27177	-64.9646023684
19	148.43736	-64.7041643931
20	83.129592	-64.5756890644
21	40.4405	-64.5332089833
22	0.75507129	-64.5702633668
23	13.137545	-64.5823054892
24	70.868291	-64.4787689241
25	60.745828	-64.3959567479
26	61.978951	-64.3110448016
27	35.929423	-64.2786035313
28	28.466472	-64.2611945558
29	40.114055	-64.2205219315
30	45.893655	-64.1684366186
31	31.982467	-64.1443749794
32	-40.104695	-64.2645508851
33	0.83722569	-64.3021988226
34	4.7975671	-64.3316872258
35	19.511323	-64.3315501615
36	-68.480783	-64.5073483023
37	-60.594716	-64.6664338493
38	-102.21319	-64.9078836856
39	-69.154066	-65.0818817508
40	-114.07029	-65.3447157478
41	-0.81610389	-65.3795172226
42	-33.516588	-65.4794844071
43	2.6751149	-65.5064532965
44	12.410254	-65.5137616454
45	13.616527	-65.5185830254
46	7.7177565	-65.5351426136
47	38.964013	-65.489081729
48	36.78218	-65.4476251071
49	-2.5293483	-65.4850036494
50	43.476894	-65.4301213452
51	46.928799	-65.3686261057
52	-9.9039732	-65.4211230097
53	-12.321624	-65.4781216589
54	21.040824	-65.4680345309
55	42.438233	-65.4151838532
56	83.414145	-65.280661603
57	23.733376	-65.2662471029
58	-10.03283	-65.319418387
59	9.9426639	-65.3323064615
60	-17.644889	-65.400268223
61	-63.478781	-65.5594789662
62	-15.669185	-65.6221134754
63	19.568823	-65.6138769369
64	14.006427	-65.6167917221
65	-32.336755	-65.7123533045
66	36.582007	-65.6694835829
67	55.982169	-65.5880505335
68	4.2345322	-65.6105774215
69	56.661081	-65.5280962985
70	88.719088	-65.3819664673
71	145.65224	-65.1228012433
72	183.10325	-64.7901841233
73	162.25459	-64.5010569237
74	126.21716	-64.2854900804
75	99.733583	-64.1239478461
76	114.97554	-63.9326818835
77	-2.9097034	-63.978066476
78	-46.051035	-64.1094825965
79	-33.588016	-64.2153071593
80	-71.111086	-64.3956278441
81	-114.46542	-64.6617262708
82	-66.454736	-64.8304035685
83	33.36587	-64.7985182466
84	4.6709285	-64.8241704065
85	45.734079	-64.7675355084
86	98.225883	-64.6061972015
87	-15.748443	-64.6736344056
88	65.690163	-64.5778171841
89	67.027743	-64.4798019789
90	-17.110307	-64.5505438444
91	-5.6028443	-64.597882507
92	-11.640955	-64.6570285917
93	40.574005	-64.6114133724
94	2.680065	-64.6418031358
95	5.7843411	-64.6658041035
96	28.879016	-64.6434690927
97	-51.118999	-64.7812270662
98	-30.906983	-64.8778128317
99	-21.121119	-64.954289946
100	36.591947	-64.9149086139
101	4.4139542	-64.9400824117
102	-63.648711	-65.1012289321
103	-96.44355	-65.3270619216
104	-105.37733	-65.5694727752
105	-116.12917	-65.8319650737
106	-199.55666	-66.2597274867
107	-173.48435	-66.6326616917
108	-123.04639	-66.90227532
109	-55.128847	-67.0342276759
110	-89.804926	-67.2346251263
111	-56.551071	-67.3671097253
112	-42.463107	-67.4704791571
113	-60.080689	-67.6083463259
114	-115.06089	-67.8551745113
115	-89.313154	-68.0486723538
116	-72.334515	-68.2067496917
117	-15.419142	-68.2497862841
118	-33.711824	-68.3290934059
119	92.880863	-68.1546117546
120	125.8264	-67.9156385042
121	113.34015	-67.7035068683
122	111.58838	-67.4965025166
123	65.599863	-67.3830258074
124	5.7157739	-67.3901593969
125	-56.065219	-67.5208169451
126	-33.247721	-67.6048994155
127	-88.335044	-67.7985513195
128	-105.28096	-68.0246624942
129	-80.364081	-68.1992318412
130	-49.134626	-68.3100045882
131	-34.741344	-68.3911398772
132	-28.888574	-68.4599479277
133	-9.6768911	-68.4898060241
134	4.8391558	-68.4904171058
135	52.471962	-68.3957832548
136	65.094304	-68.2766896867
137	75.129445	-68.1384965316
138	21.054472	-68.1095612513
139	49.231862	-68.0245176723
140	39.13818	-67.9603411087
141	-9.7217125	-67.9943976883
142	38.470373	-67.9318271407
143	89.414297	-67.7678678983
144	50.086444	-67.683827054
145	49.034373	-67.6025368649
146	-7.1498148	-67.6342349933
147	10.735713	-67.6299411907
148	-22.812796	-67.6927909717
149	30.277909	-67.6490056
150	53.218313	-67.5596812727
151	15.370615	-67.5467289444
